GEOID,car_access,transit_access,ratio
49035112822,683911,26516,0.038771126652444546
49035113521,702150,26988,0.038436231574449906
49035100306,691453,2904,0.004199851616812712
49035113520,702808,29016,0.041285813479641664
49035112402,690150,54236,0.07858581467796856
49035113310,704356,104903,0.14893462964750778
49035111801,695003,118825,0.17097048501948914
49035113538,693944,7394,0.010655038446906379
49035113017,642166,3849,0.005993777309916751
49035112914,699662,62830,0.08980050367177295
49035103300,693756,162800,0.23466463713466984
49035113019,652100,4602,0.007057199815979145
49035114000,703055,172615,0.2455213319014871
49035112823,668246,32032,0.047934443303813266
49035113108,650020,3841,0.005909048952339928
49035113702,692353,12202,0.01762395772098915
49035100500,698778,65165,0.09325565487179047
49035100600,698736,74199,0.10619032080785876
49045130600,905,905,1
49045131200,68025,3527,0.05184858507901507
49035111306,683374,10029,0.01467571198201863
49035112907,700038,59938,0.0856210662849731
49035104000,676970,71756,0.10599583437966231
49035113801,683557,12963,0.018964036649467417
49035111702,702606,227941,0.3244222224119919
49035113413,699639,20240,0.02892920491853656
49035113016,639411,5532,0.008651712278956728
49035113010,660096,6964,0.010549980608881132
49035113309,701631,56729,0.08085304098593135
49035113527,676558,6453,0.009537984917774973
49035111500,703376,40995,0.05828319419485453
49035113406,699469,26770,0.03827188910444923
49035113512,696882,23256,0.03337150335350891
49035113101,667660,8977,0.013445466255279634
49045131002,120121,4090,0.03404900059107067
49035100307,689486,12864,0.018657376654493348
49035113533,702936,35619,0.050671753900781866
49035111906,697821,152825,0.2190031541039894
49035103600,685278,132513,0.19337115739889504
49035103800,695729,109310,0.15711577352676115
49035111201,693471,54425,0.07848201294646784
49035113020,633523,2730,0.004309235813064403
49035103100,698498,129151,0.1848981672102139
49035112501,695307,62813,0.090338512340592
49035101102,683002,140695,0.2059950044070149
49035103200,700388,149737,0.2137914984265864
49035112819,653306,11754,0.017991569035031057
49035112610,686242,34416,0.05015140431509584
49035101800,691177,157005,0.22715599622093907
49035112503,694694,49650,0.07147031642708876
49035113536,698304,14514,0.02078464393731097
49035113308,704105,52587,0.07468630388933468
49035112913,696560,27524,0.03951418398989319
49035101900,692085,166274,0.24025083624121316
49035113513,701869,48977,0.06978082804625935
49035112202,697820,43825,0.06280272849732023
49035113013,641070,6131,0.009563698192085107
49035113509,701714,48055,0.06848231615729486
49035102300,696924,152480,0.2187899971876417
49035113306,703892,78417,0.11140487461144608
49035101101,680572,120695,0.1773434699047272
49035112920,687851,22846,0.03321358840795463
49045130703,9515,2537,0.26663163426169206
49035113528,671324,5613,0.008361089429247279
49035113532,699191,37895,0.05419835209549322
49035113014,653170,3487,0.005338579542844895
49035113408,689444,8860,0.012850934956283614
49035113008,671467,8530,0.012703528244872794
49035102702,700311,90176,0.12876564840478016
49035101200,659808,91823,0.13916624230079053
49035110900,672729,17840,0.026518850829977597
49035113903,691107,1674,0.002422200903767434
49035103700,690131,97114,0.14071821146999627
49035113537,702482,37225,0.05299068161177083
49035113409,698588,6847,0.00980119898996261
49035104100,672020,85619,0.12740543436207255
49035112604,677349,12221,0.018042397641393138
49045130800,60652,1409,0.023230890984633646
49045130900,110352,3456,0.0313179643323184
49035113905,652299,2300,0.0035259903817114542
49035110104,0,1512,Inf
49035113701,693389,14390,0.02075314145450822
49035112700,692475,103360,0.14926170619877974
49035111400,701403,161340,0.2300246791074461
49035113907,8498,1057,0.1243822075782537
49035101400,637709,77436,0.12142842581804554
49035113523,697699,16026,0.02296979069770775
49035114700,668101,4907,0.007344697882505789
49035113904,676234,9903,0.014644339089723379
49035100800,687940,148978,0.21655667645434196
49035113407,696086,3975,0.005710501288633876
49035113526,635621,1394,0.0021931308122293
49035111701,701500,171262,0.2441368496079829
49035114500,702762,63843,0.09084583400923783
49035111905,700459,101592,0.14503632618040457
49035110102,20452,3460,0.16917660864463133
49035111002,686582,22918,0.033379843922503066
49035110800,689678,59313,0.08600100336678856
49035113906,366291,6657,0.018174074711090362
49035113522,701421,30796,0.04390515824305232
49035111305,688782,43149,0.06264536529700253
49035111001,665490,2555,0.0038392763227095826
49035110401,690655,78663,0.1138962289420912
49035101600,682398,144735,0.21209763217359956
49035113307,705071,26930,0.03819473499831932
49035113525,565897,2885,0.00509810089115157
49035113534,673254,1772,0.0026319932744551093
49035112918,689771,29956,0.04342890611521795
49035113535,666617,5929,0.008894162615114826
49035102900,699983,180284,0.2575548263314966
49035113539,690502,7446,0.010783458990705312
49035113515,698306,35211,0.050423453328483504
49035104300,691077,50514,0.07309460450861481
49035112614,667145,4814,0.007215822647250598
49035112100,701919,81574,0.11621568870482207
49035112619,680584,7979,0.011723754892856724
49045131001,120562,1673,0.013876677560093562
49035115106,51705,1738,0.03361377042839184
49035103500,687810,160132,0.23281429464532355
49035113410,702092,23822,0.03393002626436421
49035104800,695627,114567,0.16469602243731196
49035112611,688674,19003,0.027593607425283953
49035111600,702481,87276,0.12423965915092365
49035113511,700543,82589,0.11789283455833546
49035113802,694537,14509,0.020890175757375055
49035980000,556030,25018,0.044993975145225976
49035112820,640315,2285,0.0035685561012938944
49035110702,686649,58045,0.08453372829495127
49035113505,697190,13957,0.020018933145914315
49035113107,589688,4312,0.007312341441575884
49045130702,95812,3259,0.03401452845155095
49035113803,676813,5245,0.007749555637967947
49035111802,699824,154027,0.22009390932577333
