route,ridership_HBO,ridership_HBW,ridership_NHB,sum_ridership,ridership_HBO_alt,ridership_HBW_alt,ridership_NHB_alt,sum_ridership_alt,change_HBW,change_HBO,change_NHB,change_total
19902,139,40,25,204,140,40,24,204,0,1,-1,0
19906,72,32,10,114,73,32,10,115,0,1,0,1
19930,168,54,28,250,150,39,20,209,-15,-18,-8,-41
19936,22,4,3,29,14,4,2,20,0,-8,-1,-9
2003,553,381,222,1156,549,376,222,1147,-5,-4,0,-9
20160,406,129,74,609,408,130,74,612,1,2,0,3
20161,216,100,30,346,216,100,30,346,0,0,0,0
20201,327,104,49,480,330,104,49,483,0,3,0,3
2022,1194,507,212,1913,1196,512,212,1920,5,2,0,7
2053,1616,484,224,2324,1632,497,226,2355,13,16,2,31
2061,628,370,84,1082,629,372,84,1085,2,1,0,3
2069,802,284,145,1231,802,286,145,1233,2,0,0,2
2328,1340,557,252,2149,1358,567,256,2181,10,18,4,32
2332,1181,342,194,1717,1150,336,189,1675,-6,-31,-5,-42
2343,1414,738,230,2382,1396,735,229,2360,-3,-18,-1,-22
2368,52,2,8,62,52,2,8,62,0,0,0,0
25310,392,162,64,618,392,162,64,618,0,0,0,0
27610,1181,540,336,2057,1714,770,435,2919,230,533,99,862
27613,2402,1473,488,4363,2405,1484,491,4380,11,3,3,17
27614,822,624,156,1602,719,604,141,1464,-20,-103,-15,-138
28223,290,138,49,477,296,140,50,486,2,6,1,9
32878,1229,513,224,1966,1229,512,224,1965,-1,0,0,-1
33284,54,22,10,86,54,22,10,86,0,0,0,0
33606,188,84,38,310,186,77,36,299,-7,-2,-2,-11
34504,767,258,129,1154,768,258,129,1155,0,1,0,1
34505,486,162,75,723,486,162,75,723,0,0,0,0
34520,370,88,70,528,370,88,70,528,0,0,0,0
34521,408,355,70,833,408,358,70,836,3,0,0,3
34522,1088,386,170,1644,1090,388,170,1648,2,2,0,4
38724,566,284,166,1016,562,282,174,1018,-2,-4,8,2
39020,1985,1730,362,4077,1914,1698,347,3959,-32,-71,-15,-118
41065,130,92,20,242,132,93,20,245,1,2,0,3
41458,82,38,26,146,82,38,26,146,0,0,0,0
44246,808,234,128,1170,792,240,126,1158,6,-16,-2,-12
44529,624,152,100,876,624,152,100,876,0,0,0,0
45389,333,314,66,713,364,330,72,766,16,31,6,53
45407,1902,725,326,2953,1900,725,326,2951,0,-2,0,-2
45408,240,194,53,487,242,194,53,489,0,2,0,2
45409,1768,1000,348,3116,1754,996,342,3092,-4,-14,-6,-24
45418,2888,1332,494,4714,2902,1363,497,4762,31,14,3,48
45422,564,96,84,744,566,96,84,746,0,2,0,2
45424,303,112,55,470,304,112,55,471,0,1,0,1
48851,398,49,71,518,398,50,71,519,1,0,0,1
51294,597,184,96,877,598,184,96,878,0,1,0,1
51295,2278,1180,426,3884,2268,1172,422,3862,-8,-10,-4,-22
51572,1332,460,204,1996,1328,456,204,1988,-4,-4,0,-8
58077,63,35,13,111,63,35,13,111,0,0,0,0
5907,3858,2697,661,7216,3806,2698,654,7158,1,-52,-7,-58
65123,371,172,65,608,372,174,66,612,2,1,1,4
65743,276,102,41,419,277,102,41,420,0,1,0,1
66062,29,2,7,38,29,2,7,38,0,0,0,0
79372,824,386,160,1370,824,374,160,1358,-12,0,0,-12
8246,1863,1112,300,3275,1854,1102,302,3258,-10,-9,2,-17
87442,656,247,98,1001,656,248,98,1002,1,0,0,1
87443,60,22,15,97,58,22,14,94,0,-2,-1,-3
87444,259,132,42,433,258,132,44,434,0,-1,2,1
87445,252,132,54,438,252,132,54,438,0,0,0,0
