fromId,toId,transit_time,access_time,wait_time,ride_time,transfer_time,egress_time,combined_time,routes,n_rides,car_time,walk_time,bike_time
49035112822,49035113521,83,18.2,15.600000000000001,33.2,2.2,14.4,83.6,5907|2053,2,19,NA,NA
49035112822,49035113520,91,18.2,18.1,44,5.7,5.5,91.5,5907|39020|20161,3,18,NA,NA
49035112822,49035112402,65,18.2,10.8,9,0,27.4,65.3,5907,1,9,111,45
49035112822,49035113310,80,18.2,12.4,40,1.4,8.9,80.9,5907|39020,2,19,NA,NA
49035112822,49035111801,83,18.2,22.9,33.2,0.9,8.4,83.6,5907|27613,2,19,NA,NA
49035112822,49035113538,110,18.2,15.5,57.6,4.2,14.7,110.2,5907|39020|34505,3,25,NA,NA
49035112822,49035112914,76,18.2,30.8,24.1,2,1.3,76.4,5907|34521,2,12,NA,87
49035112822,49035103300,81,18.2,13.3,37.4,1.5,11.1,81.5,5907|2022,2,20,NA,NA
49035112822,49035114000,72,18.2,10.8,30,0,13.9,72.9,5907,1,18,NA,NA
49035112822,49035112823,38,16.8,1.2,2,0,18.3,38.3,5907,1,5,38,27
49035112822,49035113108,92,18.2,17.400000000000002,43.7,3.5,9.8,92.4,5907|8246|34505,3,18,NA,112
49035112822,49035113702,88,18.2,15.600000000000001,36.9,2.2,15.8,88.7,5907|2053,2,21,NA,NA
49035112822,49035100500,114,18.2,15.4,76.1,2.4,2.8,114.9,5907|28223,2,21,NA,NA
49035112822,49035100600,107,18.2,20.8,49,0,19.5,107.5,5907|39020,2,21,NA,NA
49035112822,49035111306,95,18.2,16.7,27.9,5.1,27.6,95.5,5907|2069|45418,3,16,NA,80
49035112822,49035112907,78,18.2,30.8,25.8,2,1.4,78.2,5907|34521,2,13,NA,94
49035112822,49035104000,94,18.2,13.3,50.4,1.5,11.3,94.7,5907|2022,2,24,NA,NA
49035112822,49035113801,93,18.2,15.600000000000001,40.8,2.2,16.5,93.4,5907|2053,2,23,NA,NA
49035112822,49035111702,77,18.2,25.9,31,1.9,1,78,5907|2328,2,15,NA,NA
49035112822,49035113413,107,18.2,12,62.5,0.9,13.8,107.3,5907|2332,2,25,NA,NA
49035112822,49035113010,116,45.3,29.3,12.8,0,29,116.3,45422,1,11,NA,58
49035112822,49035113309,88,18.2,15.8,42,6,6.1,88.1,5907|39020|87442,3,21,NA,NA
49035112822,49035113527,92,18.2,23.3,44.5,0.5,5.8,92.3,5907|2061,2,23,NA,NA
49035112822,49035111500,92,18.2,12.4,31.5,2.4,28,92.6,5907|27610,2,17,NA,NA
49035112822,49035113406,98,18.2,12,57.1,0.9,10.7,98.9,5907|2332,2,24,NA,NA
49035112822,49035113512,81,18.2,16.4,26,1.4,19.4,81.4,5907|51572,2,16,NA,NA
49035112822,49035113101,94,18.2,28.6,31.7,2.5,13.4,94.3,5907|45424|34504,3,16,NA,97
49035112822,49035100307,110,18.2,14.200000000000001,61,2.6,14.5,110.5,5907|39020|45407,3,25,NA,NA
49035112822,49035113533,74,18.2,23.3,21,0.5,11.3,74.3,5907|2061,2,14,NA,102
