GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp
49035112822,1784,239,2.93,524,388,308,564,423,450,227,292,392,30,56,152,84,46,55,53,61,63,114,159,227,170,122,240,152,1365,199,351,815
49035113521,1856,56,3.51,279,433,371,773,203,717,412,381,143,49,26,11,29,18,70,66,29,96,224,302,412,271,110,104,39,1070,49,35,986
49035100306,1772,212,2.99,590,509,189,484,652,814,130,108,68,185,145,47,50,122,103,107,152,126,225,204,130,68,40,0,68,2904,305,110,2489
49035113520,1351,31,3.33,230,424,200,497,233,521,263,274,60,5,27,7,9,42,143,52,49,90,51,279,263,119,155,27,33,3636,44,83,3509
49035112402,2309,97,3.02,453,698,371,787,745,813,327,338,86,116,95,106,225,100,103,68,150,149,159,287,327,179,159,51,35,2275,499,329,1447
49035113310,1062,71,2.63,266,461,157,178,303,429,138,152,40,51,41,48,64,51,48,60,8,69,136,156,138,114,38,27,13,3419,255,702,2462
49035111801,2196,135,2.42,841,530,469,356,507,739,405,396,149,75,106,77,31,164,54,88,217,113,127,194,405,327,69,124,25,2675,361,279,2035
49035113538,808,41,4.03,104,170,90,444,93,348,108,174,85,9,25,0,0,24,35,28,17,25,70,208,108,106,68,61,24,130,11,15,104
49035113017,2080,37,3.38,299,562,356,863,261,621,289,623,286,11,33,47,23,79,68,48,69,93,108,303,289,345,278,158,128,1586,339,101,1146
49035112914,2341,20,2.73,514,884,357,586,343,818,425,546,209,17,7,134,15,132,38,181,150,22,117,348,425,420,126,154,55,1333,165,342,826
49035103300,1973,145,2.05,816,732,216,209,623,524,368,188,270,184,83,33,141,119,63,0,132,61,141,190,368,57,131,74,196,2311,92,192,2027
49035113019,2868,46,3.39,357,868,388,1255,187,628,607,521,925,45,68,0,0,38,36,78,0,45,136,369,607,296,225,337,588,3514,495,1196,1823
49035114000,1640,294,1.47,1027,509,86,18,562,488,131,223,236,148,132,101,56,71,54,26,64,74,143,181,131,142,81,72,164,40196,3871,2688,33637
49035112823,1941,33,2.88,299,761,366,515,146,488,294,508,505,22,29,9,31,12,43,34,46,73,208,127,294,258,250,277,228,3814,286,812,2716
49035113108,1100,11,3.91,63,202,285,550,28,340,159,406,167,7,0,10,0,0,11,8,21,81,34,196,159,264,142,118,49,585,28,0,557
49035113702,774,18,3.2,81,242,192,259,147,304,178,109,36,12,0,18,32,58,27,36,41,62,73,92,178,77,32,29,7,171,41,2,128
49035100500,2167,181,3.01,487,864,285,531,695,797,301,322,52,135,140,58,170,65,127,115,81,142,95,364,301,200,122,52,0,371,13,139,219
49035100600,2280,246,2.76,529,860,493,398,887,794,339,197,63,219,142,85,117,160,164,110,138,180,85,281,339,146,51,63,0,3037,40,131,2866
49045130600,739,114,2.47,219,215,142,163,243,267,66,114,49,53,36,64,28,38,24,34,41,35,56,101,66,32,82,15,34,905,162,33,710
49045131200,1205,19,2.59,318,447,141,299,245,498,176,226,60,18,68,25,28,19,87,49,97,75,147,130,176,156,70,21,39,859,98,10,751
