GEOID,car_access,transit_access,ratio
49035112822,683911,26456,0.03868339593894527
49035113521,702150,26972,0.03841344442070783
49035100306,691453,2904,0.004199851616812712
49035113520,702808,29011,0.041278699161079555
49035112402,690150,53530,0.07756284865608926
49035113310,704356,104767,0.1487415454684847
49035111801,695003,118217,0.17009566865179
49035113538,693944,7394,0.010655038446906379
49035113017,642166,3849,0.005993777309916751
49035112914,699662,62788,0.08974047468634855
49035103300,693756,161559,0.23287582377665922
49035113019,652100,4602,0.007057199815979145
49035114000,703055,170704,0.2428031946291542
49035112823,668246,31958,0.04782370564133567
49035113108,650020,3841,0.005909048952339928
49035113702,692353,12196,0.01761529162147055
49035100500,698778,65004,0.09302525265534976
49035100600,698736,74129,0.10609013990977995
49045130600,905,905,1
49045131200,68025,3527,0.05184858507901507
49035111306,683374,10029,0.01467571198201863
49035112907,700038,59904,0.08557249749299324
49035104000,676970,71433,0.10551870836226125
49035113801,683557,12963,0.018964036649467417
49035111702,702606,221626,0.3154342547601358
49035113413,699639,20240,0.02892920491853656
49035113016,639411,5532,0.008651712278956728
49035113010,660096,6964,0.010549980608881132
49035113309,701631,56711,0.08082738647522701
49035113527,676558,6453,0.009537984917774973
49035111500,703376,36601,0.052036179795728034
49035113406,699469,26770,0.03827188910444923
49035113512,696882,23210,0.03330549504794212
49035113101,667660,8977,0.013445466255279634
49045131002,120121,4090,0.03404900059107067
49035100307,689486,12857,0.01864722416408745
49035113533,702936,35583,0.05062054013452149
49035111906,697821,131726,0.18876760659252156
49035103600,685278,131934,0.1925262448232688
49035103800,695729,106634,0.15326944830530279
49035111201,693471,54382,0.07842000602764931
49035113020,633523,2730,0.004309235813064403
49035103100,698498,121037,0.17328181326217112
49035112501,695307,62467,0.08984089042681866
49035101102,683002,138886,0.20334640308520327
49035103200,700388,137570,0.19641969879552476
49035112819,653306,11754,0.017991569035031057
49035112610,686242,34281,0.04995468071030336
49035101800,691177,156690,0.22670025188916876
49035112503,694694,49418,0.0711363564389501
49035113536,698304,14514,0.02078464393731097
49035113308,704105,52585,0.07468346340389573
49035112913,696560,27507,0.039489778339267256
49035101900,692085,165258,0.23878280847005787
49035113513,701869,48867,0.06962410364327246
49035112202,697820,43307,0.06206041672637643
49035113013,641070,6131,0.009563698192085107
49035113509,701714,47898,0.06825857828118008
49035102300,696924,149219,0.214110864312321
49035113306,703892,78265,0.11118893239303757
49035101101,680572,119606,0.17574334530365635
49035112920,687851,22844,0.033210680801510795
49045130703,9515,2537,0.26663163426169206
49035113528,671324,5613,0.008361089429247279
49035113532,699191,37869,0.05416116626215155
49035113014,653170,3487,0.005338579542844895
49035113408,689444,8860,0.012850934956283614
49035113008,671467,8530,0.012703528244872794
49035102702,700311,89964,0.1284629257572707
49035101200,659808,91099,0.13806895339250205
49035110900,672729,17838,0.026515877864637914
49035113903,691107,1674,0.002422200903767434
49035103700,690131,94353,0.13671752174587143
49035113537,702482,37223,0.05298783456373259
49035113409,698588,6847,0.00980119898996261
49035104100,672020,85332,0.12697836373917443
49035112604,677349,12221,0.018042397641393138
49045130800,60652,1409,0.023230890984633646
49045130900,110352,3456,0.0313179643323184
49035113905,652299,2300,0.0035259903817114542
49035110104,0,1512,Inf
49035113701,693389,14377,0.020734392959796018
49035112700,692475,102093,0.14743203725766274
49035111400,701403,138568,0.19755832239097923
49035113907,8498,1057,0.1243822075782537
49035101400,637709,77272,0.1211712552276979
49035113523,697699,16012,0.02294972473803173
49035114700,668101,4907,0.007344697882505789
49035113904,676234,9903,0.014644339089723379
49035100800,687940,146307,0.21267407041311742
49035113407,696086,3975,0.005710501288633876
49035113526,635621,1394,0.0021931308122293
49035111701,701500,142949,0.20377619387027798
49035114500,702762,63843,0.09084583400923783
49035111905,700459,99814,0.1424979906033044
49035110102,20452,3460,0.16917660864463133
49035111002,686582,22915,0.03337547445170424
49035110800,689678,59149,0.08576321123770803
49035113906,366291,6657,0.018174074711090362
49035113522,701421,30768,0.04386523927855026
49035111305,688782,43139,0.06263084691527944
49035111001,665490,2555,0.0038392763227095826
49035110401,690655,78034,0.11298549927242979
49035101600,682398,144475,0.21171662285059453
49035113307,705071,26930,0.03819473499831932
49035113525,565897,2885,0.00509810089115157
49035113534,673254,1772,0.0026319932744551093
49035112918,689771,29948,0.0434173080631108
49035113535,666617,5929,0.008894162615114826
49035102900,699983,176349,0.2519332612363443
49035113539,690502,7446,0.010783458990705312
49035113515,698306,35137,0.05031748259359078
49035104300,691077,50422,0.07296147896688791
49035112614,667145,4814,0.007215822647250598
49035112100,701919,79803,0.11369260555705145
49035112619,680584,7979,0.011723754892856724
49045131001,120562,1673,0.013876677560093562
49035115106,51705,1738,0.03361377042839184
49035103500,687810,159456,0.2318314650848345
49035113410,702092,23822,0.03393002626436421
49035104800,695627,114261,0.16425613151875934
49035112611,688674,19002,0.02759215535942986
49035111600,702481,86476,0.12310083831448822
49035113511,700543,82292,0.11746887771343087
49035113802,694537,14509,0.020890175757375055
49035980000,556030,25018,0.044993975145225976
49035112820,640315,2285,0.0035685561012938944
49035110702,686649,57968,0.08442158948749652
49035113505,697190,13957,0.020018933145914315
49035113107,589688,4312,0.007312341441575884
49045130702,95812,3259,0.03401452845155095
49035113803,676813,5245,0.007749555637967947
49035111802,699824,150649,0.21526698141246942
49035110600,688750,47144,0.0684486388384755
49035112816,661369,10344,0.015640285528955848
49035112617,654931,4492,0.006858737790698562
49035112605,682797,40322,0.05905415518814523
49035113012,687833,12484,0.01814975437351799
49035100700,698637,89269,0.12777594086771815
49035100100,686535,28683,0.04177937031615286
49035112904,691717,15983,0.023106270338881362
49035102701,701375,107814,0.15371805382284798
49035112921,682772,32895,0.04817860134862004
49035112613,675876,10341,0.015300143813362215
49035114100,666938,97119,0.14561923297218032
49035112001,700202,72216,0.10313595219665182
49035112002,700070,45878,0.06553344665533446
49035110500,682003,26670,0.03910539982961952
49035112810,629403,3768,0.005986625421232501
49035114600,667342,14930,0.022372336822798506
49035112616,659512,9526,0.014444013149116317
49035111304,666916,2930,0.004393356884525188
49035110701,694190,97992,0.14116020109768218
49035112917,686625,29323,0.042705989441106866
49035101700,687606,165867,0.24122389856982052
49035112814,539881,1191,0.0022060417017824296
49035113102,674487,13813,0.020479267947343685
49035104400,678722,11142,0.016416146817106268
49035102100,695487,173020,0.24877531858970764
49035112502,694490,47666,0.06863453757433513
49035103000,697712,148538,0.212892998830463
49035111202,689699,40639,0.05892280545571329
49035110103,583209,303,5.195393075209745e-4
49035102802,703097,80649,0.11470536782264752
49035112813,667523,3038,0.004551154042632239
49035112804,677611,8859,0.013073872767708907
49035112905,700049,26655,0.03807590611514337
49035102801,700774,91288,0.13026739005727953
49045130701,2779,1297,0.4667146455559554
49035112812,684915,12643,0.018459224867319303
