GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp,hbo_prod,hbw_prod,nhb_prod,hbo_attr,hbw_attr,nhb_attr,hbo_attr_bal,hbw_attr_bal,nhb_attr_bal
49035112822,1784,239,2.93,524,388,308,564,423,450,227,292,392,30,56,152,84,46,55,53,61,63,114,159,227,170,122,240,152,1365,199,351,815,9280.054691175941,1852.6987115606844,4913.669081678947,7189,1638,3960.6,5743.287836662781,810.1555356622835,3214.8440062890763
49035113521,1856,56,3.51,279,433,371,773,203,717,412,381,143,49,26,11,29,18,70,66,29,96,224,302,412,271,110,104,39,1070,49,35,986,11099.912306014836,2258.6666944950102,5592.520605417903,5078.5,1284,2683,4057.2106382656743,635.0669766729987,2177.8080262772282
49035100306,1772,212,2.99,590,509,189,484,652,814,130,108,68,185,145,47,50,122,103,107,152,126,225,204,130,68,40,0,68,2904,305,110,2489,8614.067773051225,1696.0508946304808,4114.144228395472,11089.4,3484.7999999999997,5217.3,8859.315083584399,1723.5836451012972,4234.91532444882
49035113520,1351,31,3.33,230,424,200,497,233,521,263,274,60,5,27,7,9,42,143,52,49,90,51,279,263,119,155,27,33,3636,44,83,3509,7713.037962775134,1569.2927709833436,3716.917780208949,13955.2,4363.2,6135.299999999999,11148.801004061266,2158.040679610302,4980.061715847439
49035112402,2309,97,3.02,453,698,371,787,745,813,327,338,86,116,95,106,225,100,103,68,150,149,159,287,327,179,159,51,35,2275,499,329,1447,12861.896049308598,2471.657477064534,5888.1452092855325,9793.7,2730,5207,7824.181121981399,1350.2592261038055,4226.554749469075
49035113310,1062,71,2.63,266,461,157,178,303,429,138,152,40,51,41,48,64,51,48,60,8,69,136,156,138,114,38,27,13,3419,255,702,2462,5215.041737277878,1047.0743025661463,2527.8387106809305,15435.7,4102.8,7510.9,12331.571576071177,2029.2467226588622,6096.64491411317
49035111801,2196,135,2.42,841,530,469,356,507,739,405,396,149,75,106,77,31,164,54,88,217,113,127,194,405,327,69,124,25,2675,361,279,2035,10008.499855002137,1959.2784782829212,5236.375166469967,11256,3210,5658.4,8992.411724784568,1587.6674416824965,4592.958977222165
49035113538,808,41,4.03,104,170,90,444,93,348,108,174,85,9,25,0,0,24,35,28,17,25,70,208,108,106,68,61,24,130,11,15,104,5071.598470116845,1080.3749486139216,2447.7786043925353,1063.3,156,706.4,849.4697394246118,77.1576700630746,573.3893364749289
49035113017,2080,37,3.38,299,562,356,863,261,621,289,623,286,11,33,47,23,79,68,48,69,93,108,303,289,345,278,158,128,1586,339,101,1146,12387.80195506519,2613.686798685239,5940.338992363135,6552.7,1903.1999999999998,3496.6,5234.948144011712,941.3235747695101,2838.212279046201
49035112914,2341,20,2.73,514,884,357,586,343,818,425,546,209,17,7,134,15,132,38,181,150,22,117,348,425,420,126,154,55,1333,165,342,826,12266.39624061592,2565.762019710946,6179.831899075887,7518,1599.6,4250.9,6006.125741553872,791.1628784159881,3450.4823477084865
49035103300,1973,145,2.05,816,732,216,209,623,524,368,188,270,184,83,33,141,119,63,0,132,61,141,190,368,57,131,74,196,2311,92,192,2027,8196.03696890106,1548.5118118632213,4506.7685993050145,10152.8,2773.2,4970,8111.0658990221,1371.6259655058877,4034.1803543040724
