GEOID,total_hhsE,no_vehE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,total_emp,basic_emp,retail_emp,service_emp
49035112822,1784,239,524,388,308,564,423,291,1070,1365,199,351,815
49035113521,1856,56,279,433,371,773,203,415,1238,1070,49,35,986
49035100306,1772,212,590,509,189,484,652,610,510,2904,305,110,2489
49035113520,1351,31,230,424,200,497,233,242,876,3636,44,83,3509
49035112402,2309,97,453,698,371,787,745,526,1038,2275,499,329,1447
49035113310,1062,71,266,461,157,178,303,273,486,3419,255,702,2462
49035111801,2196,135,841,530,469,356,507,545,1144,2675,361,279,2035
49035113538,808,41,104,170,90,444,93,140,575,130,11,15,104
49035113017,2080,37,299,562,356,863,261,318,1501,1586,339,101,1146
49035112914,2341,20,514,884,357,586,343,470,1528,1333,165,342,826
49035103300,1973,145,816,732,216,209,623,334,1016,2311,92,192,2027
49035113019,2868,46,357,868,388,1255,187,259,2422,3514,495,1196,1823
49035114000,1640,294,1027,509,86,18,562,307,771,40196,3871,2688,33637
49035112823,1941,33,299,761,366,515,146,361,1434,3814,286,812,2716
49035113108,1100,11,63,202,285,550,28,144,928,585,28,0,557
49035113702,774,18,81,242,192,259,147,212,415,171,41,2,128
49035100500,2167,181,487,864,285,531,695,433,1039,371,13,139,219
49035100600,2280,246,529,860,493,398,887,513,880,3037,40,131,2866
49045130600,739,114,219,215,142,163,243,166,330,905,162,33,710
49045131200,1205,19,318,447,141,299,245,368,592,859,98,10,751
49035111306,1058,21,280,434,137,207,104,265,689,2121,79,4,2038
49035112907,1425,59,308,380,157,580,265,281,879,2246,55,328,1863
49035104000,1217,34,275,329,165,448,126,153,938,1050,97,279,674
49035113801,1386,52,128,223,275,760,140,445,801,242,86,0,156
49035111702,1810,102,518,703,259,330,451,513,846,1487,128,199,1160
49035113413,1573,86,228,448,264,633,316,307,950,589,66,61,462
49035113016,1702,21,148,285,322,947,131,258,1313,3717,278,704,2735
49035113010,2438,336,512,979,286,661,436,292,1710,4284,2757,200,1327
49035113309,1410,146,281,301,202,626,344,327,739,663,32,142,489
49035113527,1297,4,168,316,277,536,155,226,916,119,43,0,76
49035111500,848,112,406,194,121,127,392,211,245,14527,7435,2240,4852
49035113406,1824,88,349,389,285,801,690,576,558,1029,34,106,889
49035113512,1754,136,658,598,346,152,614,551,589,4207,659,471,3077
49035113101,1967,28,160,434,550,823,301,341,1325,2638,1808,109,721
